Sample	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	pH	conc_NaCl	g_L_lactic_acid
O148	C83	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.577	101.5149488	3.707615
O149	C84	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.936	61.0857626	10.696672
O150	PVG05	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	60	days ≤ 170	3.83	74.78	6.47
O151	C80	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.67	77.4711495	2.64894
O152	C86	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.844	84.18990123	4.194155
O153	C88	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.047	80.28233585	10.888585
O154	C87	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.784	73.43785782	3.482365
O155	C90	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.89	58	10.700276
O156	C89	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.065	49.32419431	13.56005
O157	C98	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.694	94.81127786	8.996485
O158	C99	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.102	73.22004644	8.005385
O159	C95	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.82	70.02933463	6.716955
O15	C93	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.716	81.48356094	11.2625
O160	C96	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.821	62.74079248	3.91935
O161	C78	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.932	110.6470909	16.87573
O162	C91	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.678	78.6303122	8.6496
O163	C94	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.758	94.2497051	20.06527
O164	C92	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.68	70.86633942	3.536425
O165	C85	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.155	97.66973289	3.82024
O166	C100	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.714	88.55029248	21.92133
O167	C107	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.79	71.71334827	15.6774
O168	C108	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.554	88.0258039	4.04549
O169	C118	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.218	65.21087085	13.35282
O170	C120	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.949	94.53007446	10.386728
O171	C121	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.11	93.13651856	8.923504
O172	C122	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.19	97.09122933	10.41556
O173	C123	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.22	50.51030605	7.986464
O174	C119	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.008	84.18990123	16.92078
O175	C154	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.805	73.43785782	11.107528
O176	C155	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.013	93.13651856	12.591475
O177	C157	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.131	47.03487563	13.041975
O178	C162	Termite di Bitetto	Termite di Bitetto	Others	Others	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.726	116.7239565	17.447865
O179	C164	Leccino	Leccino	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.035	77.01228334	23.853975
O180	PVG08	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	Zapatera/Palmiche	None	60	days ≤ 170	4.15	62.22	6.28
O181	C165	Leccino	Leccino	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.046	90.41073502	20.871665
O182	C166	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.987	92.03647991	10.85705
O183	C163	Termite di Bitetto	Termite di Bitetto	Others	Others	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	3.736	119.8864223	16.19097
O184	C160	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.757	108.6926056	4.572575
O185	FL5_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	Gas	None	180	170 < days ≤ 240	NA	NA	NA
O186	FL7_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	180	170 < days ≤ 240	5.52	56.91673775	3.16251
O187	FL9_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	160	days ≤ 170	4.38	54.7646101	4.765288889
O189	FL11_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	Gas	None	180	170 < days ≤ 240	3.99	54.9996594	3.805194175
O18	FL13_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	None	None	180	170 < days ≤ 240	3.92	64.44363067	4.22569
O190	FL15_2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Olives turning color	Natural olives	Natural olives	Gas	None	130	days ≤ 170	4.22	69.01444503	4.58609
O191	IP1	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	4.25	64.44363067	4.699333333
O192	IP2	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	4.41	65.55714019	3.53192
O193	IP5	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	30	days ≤ 170	4.35	69.31065451	4.125166667
O194	IP6	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	30	days ≤ 170	4.23	78.14118627	5.27986
O195	IP7	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	30	days ≤ 170	4.61	70.50826044	2.5228
O196	IP8	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	Gas	None	90	days ≤ 170	4.51	129.5269085	2.71201
O198	OD5_giugno	Leccino	Leccino	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	NA	NA	NA
O199	OD6_giugno	Leccino	Leccino	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	NA	NA	NA
O200	PVG10	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.6	101.88	7.43
O201	OD7_giugno	Peranzana	Peranzana	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	110	days ≤ 170	NA	NA	NA
O202	OD8_giugno	Peranzana	Peranzana	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	NA	NA	NA
O203	FI1	Bella di Cerignola	Bella di Daunia	Bella di Daunia	Bella di Daunia	Green olives	Alkali treated olives	Alkali treated olives	None	None	180	170 < days ≤ 240	4.12	34.56129444	6.545195402
O204	FI2	Nocellara Etnea	Olive verdi di Paternò	Others	Others	Green olives	Natural olives	Natural olives	None	None	0	before fermentation	NA	NA	NA
O205	FI3	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.59	29.89234596	4.57343038
O206	FI4	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.75	44.01898254	9.580020408
O207	FI5	Leccino	Leccino	Others	Others	Olives turning color	Natural olives	Natural olives	None	None	210	170 < days ≤ 240	NA	NA	NA
O208	FI6	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	3.45	32.64074029	2.465373626
O209	FI7	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	4.64	45.39520692	18.40614286
O20	FI8	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Specialties	Specialties	None	None	0	before fermentation	6.2	34.56129444	0.272671053
O218	PVG11	Kalamata	Kalamata	Kalamata	Others	Black olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.8	109.75	7.5346125
O21	C138	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.93	39.1	10.45
O222	T03	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	4.64	66.41	2.55
O223	T06	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	301	240 < days ≤ 365	4.62	77.94	2.88
O224	T10	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	302	240 < days ≤ 365	4.6	62.51	3.19
O226	T17	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	304	240 < days ≤ 365	4.48	61.71	3.06
O227	T18	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	305	240 < days ≤ 365	4.55	64.71	2.48
O228	C45	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	3.751	114.6621287	3.8743
O229	C37	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.61	38.89197519	4.796924
O230	C69	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	3.964	85.4495933	8.76673
O231	C73	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.795	98.54395763	3.968905
O232	C35	Ascolana tenera	Ascolana tenera	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	None	180	170 < days ≤ 240	4.047	80.04422425	9.12713
O233	C42	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.56	66.58095191	5.142908
O234	C44	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	3.741	129.8972629	3.112955
O235	C40	Itrana	Itrana bianca	Others	Others	Green olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.766	87.50442191	9.095595
O236	C70	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.08	97.38005152	6.401605
O237	C32	Ascolana tenera	Ascolana tenera	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	Zapatera/Palmiche	None	152	days ≤ 170	4.2	65.40485693	10.311945
O238	C31	Ascolana tenera	Ascolana tenera	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	Zapatera/Palmiche	None	152	days ≤ 170	4.002	74.31560197	12.636525
O239	C33	Ascolana tenera	Ascolana tenera	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	None	None	180	170 < days ≤ 240	4.346	82.94877945	3.743655
O240	C43	Halkidiki	Halkidiki	Halkidiki	Halkidiki	Green olives	Alkali treated olives	Alkali treated olives	None	None	90	days ≤ 170	3.877	92.5848655	3.86529
O241	C63	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	60	days ≤ 170	4.724	61.26747751	4.89243
O242	C36	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.848	96.80326377	14.38897
O243	C168	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	450	365 < days ≤ 850	4.758	109.6654942	9.1902
O244	C22III	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.888	86.47090414	4.221185
O245	C23I	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	5.462	85.95873191	3.311175
O246	C49	Konservolia	Konservolia	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.05	126.4707226	8.9199
O247	C104	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.843	103.6477789	10.58675
O248	C41	Itrana	Itrana bianca	Others	Others	Green olives	Natural olives	Natural olives	None	None	120	days ≤ 170	4.866	87.24489012	3.37875
O249	C167	Itrana	Itrana bianca	Others	Others	Green olives	Natural olives	Natural olives	None	None	270	240 < days ≤ 365	4.005	101.2138628	13.72223
O250	C103	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.968	63.67955209	11.276015
O251	C19	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.429	106.4559647	3.36974
O252	C97	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.737	58.77193641	11.158885
O253	C17I	Termite di Bitetto	Termite di Bitetto	Others	Others	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.758	122.0421922	7.834195
O254	C38	Itrana	Itrana bianca	Others	Others	Green olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.556	83.19553138	9.1902
O255	C22II	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	4.898	88.0258039	6.311505
O256	C102	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.87	51.72494053	11.36161
O257	C17III	Termite di Bitetto	Termite di Bitetto	Others	Others	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.66	82.94877945	55.7719
O258	C105	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.856	54.08165832	12.546425
O259	C66	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.684	116.3777617	4.653665
O260	PVG16	Conservolea	Conservolea	Others	Others	Black olives	Natural olives	Natural olives	None	None	150	days ≤ 170	3.86	103.9	5.46006
O261	C34	Ascolana tenera	Ascolana tenera	Others	Others	Green olives	Alkali treated olives	Alkali treated olives	Putrid	None	180	170 < days ≤ 240	4.059	94.2497051	5.194265
O262	C23II	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	5.409	45.93037593	4.24371
O263	C23III	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Nocellara del Belice	Green olives	Alkali treated olives	Alkali treated olives	None	None	240	170 < days ≤ 240	5.42	94.81127786	5.28887
O264	C101	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.835	88.55029248	12.64103
O265	C39	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	120	days ≤ 170	4.643	71.71334827	4.930272
O266	C17II	Termite di Bitetto	Termite di Bitetto	Others	Others	Green olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	4.728	123.5008652	8.050435
O267	C74	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.182	51.72494053	8.419845
O268	C106	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	3.998	65.99028439	6.374575
O269	C22I	Itrana	Itrana nera	Itrana nera	Itrana nera	Black olives	Natural olives	Natural olives	None	None	365	240 < days ≤ 365	5.023	95.65991706	3.64004
O26	C67	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Black olives	Natural olives	Natural olives	None	None	730	365 < days ≤ 850	4.674	101.2138628	3.82024
O270	PVG17	Conservolea	Conservolea	Others	Others	Black olives	Natural olives	Natural olives	Zapatera/Palmiche	None	150	days ≤ 170	4.23	57.53	9.14515
